n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,cv_ndcg
100,0.01,63,5,1.0,1.0,0.7144310904033382
100,0.01,63,5,1.0,0.8,0.7144310904033382
100,0.01,63,5,0.8,1.0,0.7142685809355284
100,0.01,63,5,0.8,0.8,0.7142685809355284
300,0.01,15,5,1.0,0.8,0.7141519340141731
300,0.01,15,5,1.0,1.0,0.7141519340141731
300,0.05,63,5,1.0,1.0,0.7140294691316096
300,0.05,63,5,1.0,0.8,0.7140294691316096
100,0.01,31,5,1.0,0.8,0.7139883509997995
100,0.01,31,5,1.0,1.0,0.7139883509997995
100,0.01,15,5,1.0,1.0,0.7138915587364487
100,0.01,15,5,1.0,0.8,0.7138915587364487
100,0.01,15,5,0.8,1.0,0.7138877441830161
100,0.01,15,5,0.8,0.8,0.7138877441830161
300,0.05,15,10,1.0,1.0,0.7137677529918287
300,0.05,15,10,1.0,0.8,0.7137677529918287
300,0.01,31,5,1.0,0.8,0.7137188858305553
300,0.01,31,5,1.0,1.0,0.7137188858305553
100,0.01,15,10,1.0,1.0,0.7137068426512101
100,0.01,15,10,1.0,0.8,0.7137068426512101
500,0.1,15,10,1.0,0.8,0.7137034461111607
500,0.1,15,10,1.0,1.0,0.7137034461111607
500,0.01,15,5,1.0,0.8,0.7136962911542574
500,0.01,15,5,1.0,1.0,0.7136962911542574
100,0.05,15,5,0.8,0.8,0.7136899094843661
100,0.05,15,5,0.8,1.0,0.7136899094843661
100,0.1,15,5,1.0,1.0,0.713680904527261
100,0.1,15,5,1.0,0.8,0.713680904527261
100,0.01,31,10,1.0,1.0,0.7136716867955698
100,0.01,31,10,1.0,0.8,0.7136716867955698
500,0.1,15,5,1.0,0.8,0.7136708258897273
500,0.1,15,5,1.0,1.0,0.7136708258897273
500,0.05,15,5,0.8,1.0,0.7136644938834086
500,0.05,15,5,0.8,0.8,0.7136644938834086
300,0.1,15,10,1.0,0.8,0.7136577579474324
300,0.1,15,10,1.0,1.0,0.7136577579474324
300,0.1,15,5,1.0,0.8,0.7136045732009428
300,0.1,15,5,1.0,1.0,0.7136045732009428
300,0.05,15,5,0.8,1.0,0.7135994080778336
300,0.05,15,5,0.8,0.8,0.7135994080778336
500,0.01,15,10,1.0,0.8,0.7135903551962537
500,0.01,15,10,1.0,1.0,0.7135903551962537
100,0.1,31,5,0.8,0.8,0.71358569608179
100,0.1,31,5,0.8,1.0,0.71358569608179
100,0.05,63,5,1.0,1.0,0.7135789067969892
100,0.05,63,5,1.0,0.8,0.7135789067969892
300,0.01,63,5,1.0,0.8,0.7135538584826027
300,0.01,63,5,1.0,1.0,0.7135538584826027
100,0.01,63,10,0.8,1.0,0.7135362995610952
100,0.01,63,10,0.8,0.8,0.7135362995610952
100,0.05,63,10,0.8,1.0,0.7134978199810958
100,0.05,63,10,0.8,0.8,0.7134978199810958
